HABIT,GROUP,DATE,DAY,TIME,VALUE,NOTE
BR,,20180906,THU,7.58.4,1.0,
BR,,20180906,THU,10.19.43,1.0,
BR,,20180906,THU,13.48.7,1.0,
BR,,20180906,THU,17.3.41,1.0,
BR,,20180906,THU,17.29.40,1.0,
BR,,20180907,FRI,0.14.12,1.0,
BR,,20180907,FRI,0.14.12,1.0,
BR,,20180907,FRI,7.29.19,1.0,
BR,,20180907,FRI,9.15.18,1.0,
BR,,20180907,FRI,9.50.27,1.0,
BR,,20180907,FRI,12.49.49,1.0,
BR,,20180907,FRI,14.45.35,1.0,
BR,,20180907,FRI,17.35.32,1.0,
BR,,20180908,SAT,1.13.37,1.0,
BR,,20180908,SAT,6.35.2,1.0,
BR,,20180908,SAT,6.35.2,1.0,
BR,,20180908,SAT,6.35.2,1.0,
BR,,20180908,SAT,8.57.47,1.0,
BR,,20180908,SAT,12.14.51,1.0,
BR,,20180908,SAT,14.57.44,1.0,
BR,,20180908,SAT,17.4.52,1.0,
BR,,20180908,SAT,18.6.13,1.0,
BR,,20180909,SUN,0.38.37,1.0,
BR,,20180909,SUN,8.32.55,1.0,
BR,,20180909,SUN,8.32.59,1.0,
BR,,20180909,SUN,12.57.41,1.0,
BR,,20180909,SUN,12.57.44,1.0,
BR,,20180909,SUN,14.23.48,1.0,
BR,,20180909,SUN,14.45.38,1.0,
BR,,20180909,SUN,15.39.49,1.0,
BR,,20180909,SUN,17.6.29,1.0,
BR,,20180909,SUN,19.50.28,1.0,
BR,,20180909,SUN,23.19.43,1.0,
BR,,20180910,MON,0.21.57,1.0,
BR,,20180910,MON,7.16.50,1.0,
BR,,20180910,MON,10.34.16,1.0,
BR,,20180910,MON,14.4.15,1.0,
BR,,20180910,MON,16.43.23,1.0,
BR,,20180910,MON,19.17.44,1.0,
BR,,20180910,MON,22.42.43,1.0,
BR,,20180911,TUE,0.35.41,1.0,
BR,,20180911,TUE,1.18.1,1.0,
BR,,20180911,TUE,7.46.51,1.0,
BR,,20180911,TUE,9.39.37,1.0,
BR,,20180911,TUE,11.9.3,1.0,
BR,,20180911,TUE,14.6.20,1.0,
BR,,20180911,TUE,16.11.4,1.0,
BR,,20180911,TUE,16.23.5,1.0,
BR,,20180911,TUE,20.10.32,1.0,
BR,,20180911,TUE,20.10.32,1.0,
BR,,20180911,TUE,21.3.58,1.0,
BR,,20180911,TUE,23.5.46,1.0,
BR,,20180912,WED,8.17.27,1.0,
BR,,20180912,WED,10.1.50,1.0,
BR,,20180912,WED,11.40.44,1.0,
BR,,20180912,WED,14.37.45,1.0,
BR,,20180912,WED,16.53.40,1.0,
BR,,20180912,WED,19.24.5,1.0,
BR,,20180912,WED,23.53.32,1.0,
BR,,20180913,THU,0.6.47,1.0,
BR,,20180913,THU,7.4.15,1.0,
BR,,20180913,THU,9.45.16,1.0,
BR,,20180913,THU,13.44.58,1.0,
BR,,20180913,THU,14.59.14,1.0,
BR,,20180913,THU,17.17.37,1.0,
BR,,20180913,THU,19.3.22,1.0,
BR,,20180913,THU,21.18.8,1.0,
BR,,20180913,THU,22.16.49,1.0,
BR,,20180913,THU,22.16.49,1.0,
BR,,20180914,FRI,7.28.58,1.0,
BR,,20180914,FRI,8.43.29,1.0,
BR,,20180914,FRI,10.37.49,1.0,
BR,,20180914,FRI,11.46.37,1.0,
BR,,20180914,FRI,15.37.43,1.0,
BR,,20180914,FRI,19.42.45,1.0,
BR,,20180914,FRI,22.12.17,1.0,
BR,,20180914,FRI,22.12.17,1.0,
BR,,20180913,THU,22.16.49,1.0,
BR,,20180914,FRI,7.28.58,1.0,
BR,,20180914,FRI,8.43.29,1.0,
BR,,20180914,FRI,10.37.49,1.0,
BR,,20180914,FRI,11.46.37,1.0,
BR,,20180914,FRI,15.37.43,1.0,
BR,,20180914,FRI,19.42.45,1.0,
BR,,20180914,FRI,22.12.17,1.0,
BR,,20180914,FRI,22.12.17,1.0,
BR,,20180914,FRI,23.16.13,1.0,
BR,,20180915,SAT,0.16.43,1.0,
BR,,20180915,SAT,0.59.53,1.0,
BR,,20180915,SAT,7.42.19,1.0,
BR,,20180915,SAT,9.28.30,1.0,
BR,,20180915,SAT,12.0.54,1.0,
BR,,20180915,SAT,13.7.37,1.0,
BR,,20180915,SAT,14.55.6,1.0,
BR,,20180915,SAT,16.45.40,1.0,
BR,,20180915,SAT,17.15.30,1.0,
BR,,20180915,SAT,22.3.53,1.0,
BR,,20180916,SUN,5.52.36,1.0,
BR,,20180916,SUN,7.51.45,1.0,
BR,,20180916,SUN,13.32.10,1.0,
BR,,20180916,SUN,13.32.11,1.0,
BR,,20180916,SUN,16.17.29,1.0,
BR,,20180916,SUN,16.17.31,1.0,
BR,,20180916,SUN,17.24.31,1.0,
BR,,20180916,SUN,18.11.46,1.0,
BR,,20180916,SUN,20.1.2,1.0,
BR,,20180917,MON,6.58.58,1.0,
BR,,20180917,MON,8.32.34,1.0,
BR,,20180917,MON,8.32.35,1.0,
BR,,20180917,MON,13.1.56,1.0,
BR,,20180917,MON,17.37.42,1.0,
BR,,20180917,MON,17.37.42,1.0,
BR,,20180917,MON,21.21.5,1.0,
BR,,20180918,TUE,5.50.24,1.0,
BR,,20180918,TUE,7.53.35,1.0,
BR,,20180918,TUE,10.14.40,1.0,
BR,,20180918,TUE,12.1.46,1.0,
BR,,20180918,TUE,12.1.47,1.0,
BR,,20180918,TUE,15.4.24,1.0,
BR,,20180918,TUE,19.2.49,1.0,
BR,,20180919,WED,7.20.39,1.0,
BR,,20180919,WED,7.20.40,1.0,
BR,,20180919,WED,7.20.40,1.0,
BR,,20180919,WED,9.36.36,1.0,
BR,,20180919,WED,15.37.57,1.0,
BR,,20180919,WED,16.25.15,1.0,
BR,,20180919,WED,19.58.33,1.0,
BR,,20180919,WED,23.35.0,1.0,
BR,,20180920,THU,0.3.12,1.0,
BR,,20180920,THU,7.43.33,1.0,
BR,,20180920,THU,9.32.23,1.0,
BR,,20180920,THU,13.57.51,1.0,
BR,,20180920,THU,13.57.52,1.0,
BR,,20180920,THU,14.52.32,1.0,
BR,,20180920,THU,20.33.48,1.0,
BR,,20180920,THU,20.33.51,1.0,
BR,,20180921,FRI,8.28.51,1.0,
BR,,20180921,FRI,8.28.51,1.0,
BR,,20180921,FRI,10.13.8,1.0,
BR,,20180921,FRI,11.26.8,1.0,
BR,,20180921,FRI,13.52.3,1.0,
BR,,20180921,FRI,14.4.41,1.0,
BR,,20180921,FRI,15.58.33,1.0,
BR,,20180922,SAT,0.14.50,1.0,
BR,,20180922,SAT,0.14.50,1.0,
BR,,20180922,SAT,9.12.1,1.0,
BR,,20180922,SAT,9.12.4,1.0,
BR,,20180922,SAT,11.40.7,1.0,
BR,,20180922,SAT,18.1.58,1.0,
BR,,20180922,SAT,18.2.3,1.0,
BR,,20180922,SAT,21.19.4,1.0,
BR,,20180923,SUN,0.38.8,1.0,
BR,,20180923,SUN,0.38.8,1.0,
BR,,20180923,SUN,0.38.8,1.0,
BR,,20180923,SUN,0.38.8,1.0,
BR,,20180923,SUN,6.46.54,1.0,
BR,,20180923,SUN,8.38.50,1.0,
BR,,20180923,SUN,11.45.50,1.0,
BR,,20180924,MON,7.29.44,1.0,
BR,,20180924,MON,11.5.3,1.0,
BR,,20180924,MON,11.5.4,1.0,
BR,,20180924,MON,16.0.9,1.0,
BR,,20180924,MON,16.27.43,1.0,
BR,,20180924,MON,19.24.8,1.0,
BR,,20180924,MON,23.48.6,1.0,
BR,,20180924,MON,23.48.8,1.0,
BR,,20180923,SUN,8.38.50,1.0,
BR,,20180923,SUN,11.45.50,1.0,
BR,,20180924,MON,7.29.44,1.0,
BR,,20180924,MON,11.5.3,1.0,
BR,,20180924,MON,11.5.4,1.0,
BR,,20180924,MON,16.0.9,1.0,
BR,,20180924,MON,16.27.43,1.0,
BR,,20180924,MON,19.24.8,1.0,
BR,,20180924,MON,23.48.6,1.0,
BR,,20180924,MON,23.48.8,1.0,
BR,,20180925,TUE,7.39.38,1.0,
BR,,20180925,TUE,10.46.37,1.0,
BR,,20180925,TUE,16.35.32,1.0,
BR,,20180925,TUE,16.35.34,1.0,
BR,,20180925,TUE,19.20.36,1.0,
BR,,20180925,TUE,19.20.37,1.0,
BR,,20180926,WED,4.18.3,1.0,
BR,,20180926,WED,8.17.14,1.0,
BR,,20180926,WED,8.17.14,1.0,
BR,,20180926,WED,20.17.12,1.0,
BR,,20180926,WED,20.17.13,1.0,
BR,,20180926,WED,20.17.13,1.0,
BR,,20180926,WED,22.59.58,1.0,
BR,,20180926,WED,22.59.58,1.0,
BR,,20180927,THU,7.18.46,1.0,
BR,,20180927,THU,7.18.47,1.0,
BR,,20180927,THU,8.31.34,1.0,
BR,,20180927,THU,11.13.8,1.0,
BR,,20180927,THU,13.8.2,1.0,
BR,,20180927,THU,15.0.55,1.0,
BR,,20180927,THU,17.9.0,1.0,
BR,,20180927,THU,23.48.52,1.0,
BR,,20180928,FRI,7.36.24,1.0,
BR,,20180928,FRI,11.9.58,1.0,
BR,,20180928,FRI,11.10.3,1.0,
BR,,20180928,FRI,17.24.59,1.0,
BR,,20180928,FRI,17.25.0,1.0,
BR,,20180928,FRI,23.59.42,1.0,
BR,,20180928,FRI,23.59.44,1.0,
BR,,20180929,SAT,7.28.43,1.0,
BR,,20180929,SAT,13.32.11,1.0,
BR,,20180930,SUN,7.50.44,1.0,
BR,,20180930,SUN,7.50.44,1.0,
BR,,20180930,SUN,8.15.45,1.0,
BR,,20180930,SUN,8.15.45,1.0,
BR,,20180930,SUN,10.7.48,1.0,
BR,,20180930,SUN,10.7.51,1.0,
BR,,20180930,SUN,11.25.55,1.0,
BR,,20180930,SUN,18.54.52,1.0,
BR,,20180930,SUN,18.54.54,1.0,
BR,,20181001,MON,7.50.48,1.0,
BR,,20181001,MON,11.13.15,1.0,
BR,,20181001,MON,13.16.40,1.0,
BR,,20181001,MON,17.37.56,1.0,
BR,,20181002,TUE,8.19.16,1.0,
BR,,20181002,TUE,8.19.16,1.0,
BR,,20181002,TUE,8.19.16,1.0,
BR,,20181002,TUE,8.19.16,1.0,
BR,,20181002,TUE,9.8.26,1.0,
BR,,20181002,TUE,9.8.26,1.0,
BR,,20181002,TUE,11.0.28,1.0,
BR,,20181003,WED,8.19.19,1.0,
BR,,20181003,WED,10.36.4,1.0,
BR,,20181003,WED,11.2.51,1.0,
BR,,20181003,WED,15.20.27,1.0,
BR,,20181003,WED,19.12.25,1.0,
BR,,20181003,WED,23.8.37,1.0,
BR,,20181004,THU,9.7.41,1.0,
BR,,20181004,THU,9.7.42,1.0,
BR,,20181004,THU,22.36.36,1.0,
BR,,20181004,THU,22.36.36,1.0,
BR,,20181004,THU,22.36.37,1.0,
BR,,20181004,THU,22.36.38,1.0,
BR,,20181004,THU,22.36.38,1.0,
BR,,20181005,FRI,12.37.48,1.0,
BR,,20181005,FRI,12.37.49,1.0,
BR,,20181005,FRI,12.37.50,1.0,
BR,,20181006,SAT,2.42.0,1.0,
BR,,20181006,SAT,2.42.0,1.0,
BR,,20181006,SAT,7.26.59,1.0,
BR,,20181006,SAT,7.27.13,1.0,
BR,,20181006,SAT,13.16.38,1.0,
BR,,20181006,SAT,13.16.40,1.0,
BR,,20181006,SAT,13.16.41,1.0,
BR,,20181006,SAT,14.27.0,1.0,
BR,,20181006,SAT,23.22.29,1.0,
BR,,20181005,FRI,12.37.48,1.0,
BR,,20181005,FRI,12.37.49,1.0,
BR,,20181005,FRI,12.37.50,1.0,
BR,,20181006,SAT,2.42.0,1.0,
BR,,20181006,SAT,2.42.0,1.0,
BR,,20181006,SAT,7.26.59,1.0,
BR,,20181006,SAT,7.27.13,1.0,
BR,,20181006,SAT,13.16.38,1.0,
BR,,20181006,SAT,13.16.40,1.0,
BR,,20181006,SAT,13.16.41,1.0,
BR,,20181006,SAT,14.27.0,1.0,
BR,,20181006,SAT,23.22.29,1.0,
BR,,20181006,SAT,23.22.30,1.0,
BR,,20181006,SAT,23.45.43,1.0,
BR,,20181007,SUN,5.7.0,1.0,
BR,,20181007,SUN,9.32.26,1.0,
BR,,20181007,SUN,12.40.24,1.0,
BR,,20181008,MON,3.55.35,1.0,
BR,,20181008,MON,5.28.12,1.0,
BR,,20181008,MON,8.9.47,1.0,
BR,,20181008,MON,8.9.47,1.0,
BR,,20181008,MON,8.9.48,1.0,
BR,,20181008,MON,15.37.21,1.0,
BR,,20181008,MON,15.37.22,1.0,
BR,,20181008,MON,15.37.24,1.0,
BR,,20181008,MON,15.37.24,1.0,
BR,,20181008,MON,15.37.26,1.0,
BR,,20181009,TUE,1.16.51,1.0,
BR,,20181009,TUE,1.16.51,1.0,
BR,,20181009,TUE,4.9.36,1.0,
BR,,20181009,TUE,4.9.37,1.0,
BR,,20181009,TUE,7.44.28,1.0,
BR,,20181009,TUE,7.44.30,1.0,
BR,,20181009,TUE,14.12.4,1.0,
BR,,20181009,TUE,14.12.14,1.0,
BR,,20181009,TUE,16.15.59,1.0,
BR,,20181010,WED,1.16.38,1.0,
BR,,20181010,WED,1.16.39,1.0,
BR,,20181010,WED,3.42.6,1.0,
BR,,20181010,WED,7.43.34,1.0,
BR,,20181010,WED,15.18.8,1.0,
BR,,20181010,WED,15.18.9,1.0,
BR,,20181010,WED,23.53.43,1.0,
BR,,20181011,THU,1.11.5,1.0,
BR,,20181011,THU,5.49.27,1.0,
BR,,20181011,THU,5.49.27,1.0,
BR,,20181011,THU,10.23.8,1.0,
BR,,20181011,THU,10.23.9,1.0,
BR,,20181011,THU,13.59.1,1.0,
BR,,20181011,THU,13.59.8,1.0,
BR,,20181011,THU,15.16.13,1.0,
BR,,20181011,THU,16.33.32,1.0,
BR,,20181011,THU,16.33.32,1.0,
BR,,20181011,THU,16.33.32,1.0,
BR,,20181011,THU,16.33.32,1.0,
BR,,20181011,THU,22.52.45,1.0,
BR,,20181012,FRI,2.39.57,1.0,
BR,,20181012,FRI,2.39.58,1.0,
BR,,20181012,FRI,16.33.32,1.0,
BR,,20181012,FRI,16.33.32,1.0,
BR,,20181012,FRI,16.33.32,1.0,
BR,,20181012,FRI,16.33.32,1.0,
BR,,20181012,FRI,16.33.32,1.0,
BR,,20181013,SAT,17.24.3,1.0,
BR,,20181013,SAT,22.54.46,1.0,
BR,,20181013,SAT,22.54.47,1.0,
BR,,20181014,SUN,3.32.38,1.0,
BR,,20181014,SUN,12.51.40,1.0,
BR,,20181014,SUN,12.51.41,1.0,
BR,,20181014,SUN,12.51.44,1.0,
BR,,20181014,SUN,12.51.47,1.0,
BR,,20181014,SUN,21.37.59,1.0,
BR,,20181014,SUN,21.37.59,1.0,
BR,,20181014,SUN,21.37.59,1.0,
BR,,20181015,MON,3.32.41,1.0,
BR,,20181015,MON,3.32.42,1.0,
BR,,20181015,MON,3.32.45,1.0,
BR,,20181015,MON,3.32.46,1.0,
BR,,20181015,MON,3.32.46,1.0,
BR,,20181015,MON,8.15.10,1.0,
BR,,20181015,MON,21.38.19,1.0,
BR,,20181015,MON,23.37.33,1.0,
BR,,20181016,TUE,0.21.17,1.0,
BR,,20181016,TUE,2.35.52,1.0,
BR,,20181016,TUE,2.35.52,1.0,
BR,,20181016,TUE,2.35.52,1.0,
BR,,20181016,TUE,5.49.50,1.0,
BR,,20181016,TUE,5.49.51,1.0,
BR,,20181016,TUE,10.54.50,1.0,
BR,,20181015,MON,8.15.10,1.0,
BR,,20181015,MON,21.38.19,1.0,
BR,,20181015,MON,23.37.33,1.0,
BR,,20181016,TUE,0.21.17,1.0,
BR,,20181016,TUE,2.35.52,1.0,
BR,,20181016,TUE,2.35.52,1.0,
BR,,20181016,TUE,2.35.52,1.0,
BR,,20181016,TUE,5.49.50,1.0,
BR,,20181016,TUE,5.49.51,1.0,
BR,,20181016,TUE,10.54.50,1.0,
BR,,20181016,TUE,12.46.0,1.0,
BR,,20181016,TUE,12.46.2,1.0,
BR,,20181017,WED,8.3.19,1.0,
BR,,20181017,WED,8.3.19,1.0,
BR,,20181017,WED,8.3.19,1.0,
BR,,20181017,WED,12.27.17,1.0,
BR,,20181017,WED,12.27.17,1.0,
BR,,20181017,WED,12.27.18,1.0,
BR,,20181017,WED,12.27.18,1.0,
BR,,20181018,THU,8.3.22,1.0,
BR,,20181018,THU,8.9.24,1.0,
BR,,20181018,THU,8.9.24,1.0,
BR,,20181018,THU,17.8.42,1.0,
BR,,20181018,THU,17.8.43,1.0,
BR,,20181018,THU,19.28.47,1.0,
BR,,20181019,FRI,8.9.25,1.0,
BR,,20181019,FRI,8.9.26,1.0,
BR,,20181019,FRI,8.9.27,1.0,
BR,,20181019,FRI,12.52.3,1.0,
BR,,20181019,FRI,13.54.2,1.0,
BR,,20181019,FRI,13.54.2,1.0,
BR,,20181019,FRI,17.26.17,1.0,
BR,,20181020,SAT,13.54.4,1.0,
BR,,20181020,SAT,13.54.4,1.0,
BR,,20181020,SAT,13.54.5,1.0,
BR,,20181020,SAT,13.54.6,1.0,
BR,,20181020,SAT,14.15.16,1.0,
BR,,20181020,SAT,14.15.16,1.0,
BR,,20181020,SAT,14.15.16,1.0,
BR,,20181021,SUN,0.1.27,1.0,
BR,,20181021,SUN,0.1.27,1.0,
BR,,20181021,SUN,0.1.27,1.0,
BR,,20181021,SUN,0.1.27,1.0,
BR,,20181021,SUN,14.15.28,1.0,
BR,,20181021,SUN,14.15.29,1.0,
BR,,20181021,SUN,14.15.30,1.0,
BR,,20181022,MON,7.16.5,1.0,
BR,,20181022,MON,7.16.5,1.0,
BR,,20181022,MON,9.1.38,1.0,
BR,,20181022,MON,12.19.58,1.0,
BR,,20181022,MON,12.19.59,1.0,
BR,,20181022,MON,17.19.59,1.0,
BR,,20181022,MON,18.46.31,1.0,
BR,,20181023,TUE,7.16.17,1.0,
BR,,20181023,TUE,8.10.35,1.0,
BR,,20181023,TUE,8.25.38,1.0,
BR,,20181023,TUE,10.54.39,1.0,
BR,,20181023,TUE,10.54.39,1.0,
BR,,20181023,TUE,16.57.4,1.0,
BR,,20181023,TUE,16.57.4,1.0,
BR,,20181024,WED,9.51.55,1.0,
BR,,20181024,WED,9.51.55,1.0,
BR,,20181024,WED,9.51.55,1.0,
BR,,20181024,WED,10.54.49,1.0,
BR,,20181024,WED,10.54.50,1.0,
BR,,20181024,WED,10.54.52,1.0,
BR,,20181024,WED,14.12.22,1.0,
BR,,20181024,WED,16.33.51,1.0,
BR,,20181025,THU,8.10.35,1.0,
BR,,20181025,THU,8.10.35,1.0,
BR,,20181025,THU,8.10.35,1.0,
BR,,20181025,THU,8.10.35,1.0,
BR,,20181025,THU,8.10.35,1.0,
BR,,20181025,THU,8.10.35,1.0,
BR,,20181025,THU,9.52.11,1.0,
BR,,20181025,THU,9.52.12,1.0,
BR,,20181026,FRI,8.10.38,1.0,
BR,,20181026,FRI,8.10.39,1.0,
BR,,20181026,FRI,10.37.26,1.0,
BR,,20181026,FRI,12.56.12,1.0,
BR,,20181026,FRI,12.56.12,1.0,
BR,,20181026,FRI,18.34.9,1.0,
BR,,20181026,FRI,18.34.14,1.0,
BR,,20181026,FRI,18.34.15,1.0,
BR,,20181027,SAT,12.56.14,1.0,
BR,,20181027,SAT,12.56.14,1.0,
BR,,20181027,SAT,12.56.15,1.0,
BR,,20181026,FRI,8.10.38,1.0,
BR,,20181026,FRI,8.10.39,1.0,
BR,,20181026,FRI,10.37.26,1.0,
BR,,20181026,FRI,12.56.12,1.0,
BR,,20181026,FRI,12.56.12,1.0,
BR,,20181026,FRI,18.34.9,1.0,
BR,,20181026,FRI,18.34.14,1.0,
BR,,20181026,FRI,18.34.15,1.0,
BR,,20181027,SAT,12.56.14,1.0,
BR,,20181027,SAT,12.56.14,1.0,
BR,,20181027,SAT,12.56.15,1.0,
BR,,20181027,SAT,14.56.33,1.0,
BR,,20181027,SAT,16.57.18,1.0,
BR,,20181027,SAT,20.9.57,1.0,
BR,,20181027,SAT,20.35.52,1.0,
BR,,20181027,SAT,23.3.44,1.0,
BR,,20181028,SUN,6.55.0,1.0,
BR,,20181028,SUN,6.55.0,1.0,
BR,,20181028,SUN,6.55.0,1.0,
BR,,20181028,SUN,6.55.0,1.0,
BR,,20181028,SUN,6.56.0,1.0,
BR,,20181028,SUN,6.56.0,1.0,
BR,,20181028,SUN,6.56.0,1.0,
BR,,20181029,MON,6.37.47,1.0,
BR,,20181029,MON,8.20.14,1.0,
BR,,20181029,MON,9.53.6,1.0,
BR,,20181029,MON,9.53.7,1.0,
BR,,20181029,MON,11.44.0,1.0,
BR,,20181029,MON,14.56.13,1.0,
BR,,20181029,MON,14.56.14,1.0,
BR,,20181029,MON,19.19.53,1.0,
BR,,20181030,TUE,6.37.49,1.0,
BR,,20181030,TUE,9.18.30,1.0,
BR,,20181030,TUE,11.12.27,1.0,
BR,,20181030,TUE,13.2.21,1.0,
BR,,20181030,TUE,14.42.36,1.0,
BR,,20181030,TUE,18.42.13,1.0,
BR,,20181030,TUE,22.28.54,1.0,
BR,,20181030,TUE,22.28.54,1.0,
BR,,20181031,WED,9.44.21,1.0,
BR,,20181031,WED,9.44.22,1.0,
BR,,20181031,WED,9.44.25,1.0,
BR,,20181031,WED,14.46.12,1.0,
BR,,20181031,WED,18.58.57,1.0,
BR,,20181031,WED,18.59.10,1.0,
BR,,20181101,THU,8.52.26,1.0,
BR,,20181101,THU,8.52.27,1.0,
BR,,20181101,THU,9.40.33,1.0,
BR,,20181101,THU,9.40.33,1.0,
BR,,20181101,THU,9.58.17,1.0,
BR,,20181101,THU,18.2.43,1.0,
BR,,20181101,THU,18.2.59,1.0,
BR,,20181101,THU,18.3.4,1.0,
BR,,20181102,FRI,9.40.35,1.0,
BR,,20181102,FRI,9.40.36,1.0,
BR,,20181102,FRI,9.40.36,1.0,
BR,,20181102,FRI,12.6.57,1.0,
BR,,20181102,FRI,13.40.43,1.0,
BR,,20181102,FRI,13.40.43,1.0,
BR,,20181102,FRI,13.40.43,1.0,
BR,,20181102,FRI,13.40.43,1.0,
BR,,20181102,FRI,16.55.20,1.0,
BR,,20181103,SAT,12.57.27,1.0,
BR,,20181103,SAT,12.57.27,1.0,
BR,,20181103,SAT,12.57.27,1.0,
BR,,20181103,SAT,13.40.47,1.0,
BR,,20181103,SAT,13.40.49,1.0,
BR,,20181103,SAT,13.40.51,1.0,
BR,,20181103,SAT,13.40.52,1.0,
BR,,20181103,SAT,16.45.26,1.0,
BR,,20181103,SAT,18.14.0,1.0,
BR,,20181104,SUN,8.2.52,1.0,
BR,,20181104,SUN,8.2.52,1.0,
BR,,20181104,SUN,8.2.52,1.0,
BR,,20181104,SUN,8.2.52,1.0,
BR,,20181104,SUN,12.57.49,1.0,
BR,,20181104,SUN,12.57.50,1.0,
BR,,20181104,SUN,12.57.55,1.0,
BR,,20181105,MON,7.30.16,1.0,
BR,,20181105,MON,7.30.16,1.0,
BR,,20181105,MON,7.30.16,1.0,
BR,,20181105,MON,8.2.55,1.0,
BR,,20181105,MON,8.2.56,1.0,
BR,,20181105,MON,10.56.11,1.0,
BR,,20181105,MON,14.35.22,1.0,
BR,,20181105,MON,18.26.40,1.0,
BR,,20181106,TUE,7.30.25,1.0,
